PassengerId,fSex,fEmbarked,Pclass,Age,SibSp,Parch,Fare,Survived,name_title,name_word_length,name_char_length,cabin_first_letter,ticket_category
58,male,C,3,28.5,0,0,7.2292,0,Mr.,2,13,n,digit
59,female,S,2,5,1,2,27.75,1,Miss.,3,19,n,CA
59,female,S,2,5,1,2,27.75,1,Miss.,3,19,n,CA
60,male,S,3,11,5,2,46.9,0,Master.,3,23,n,CA
60,male,S,3,11,5,2,46.9,0,Master.,3,23,n,CA
61,male,C,3,22,0,0,7.2292,0,Mr.,2,15,n,digit
61,male,C,3,22,0,0,7.2292,0,Mr.,2,15,n,digit
62,female,S,1,38,0,0,80,1,Miss.,2,11,B,digit
62,female,C,1,38,0,0,80,1,Miss.,2,11,B,digit
63,male,S,1,45,1,0,83.475,0,Mr.,3,20,C,digit
63,male,S,1,45,1,0,83.475,0,Mr.,3,20,C,digit
64,male,S,3,4,3,2,27.9,0,Master.,2,11,n,digit
64,male,S,3,4,3,2,27.9,0,Master.,2,11,n,digit
65,male,C,1,50,0,0,27.7208,0,Mr.,3,14,n,PC
65,male,C,1,54,0,0,27.7208,0,Mr.,3,14,n,PC
66,male,C,3,4,1,1,15.2458,1,Master.,2,14,n,digit
66,male,C,3,7,1,1,15.2458,1,Master.,2,14,n,digit
67,female,S,2,29,0,0,10.5,1,Mrs.,2,3,o,CA
67,female,S,2,29,0,0,10.5,1,Mrs.,2,3,o,CA
68,male,S,3,19,0,0,8.1583,0,Mr.,3,17,n,other
68,male,S,3,19,0,0,8.1583,0,Mr.,3,17,n,other
69,female,S,3,17,4,2,7.925,1,Miss.,3,22,n,digit
69,female,S,3,17,4,2,7.925,1,Miss.,3,22,n,digit
70,male,S,3,26,2,0,8.6625,0,Mr.,2,11,n,digit
70,male,S,3,26,2,0,8.6625,0,Mr.,2,11,n,digit
71,male,S,2,32,0,0,10.5,0,Mr.,3,19,n,CA
71,male,S,2,32,0,0,10.5,0,Mr.,3,19,n,CA
72,female,S,3,16,5,2,46.9,0,Miss.,3,17,n,CA
72,female,S,3,16,5,2,46.9,0,Miss.,3,17,n,CA
73,male,S,2,21,0,0,73.5,0,Mr.,3,13,n,SOC
73,male,S,2,21,0,0,73.5,0,Mr.,3,13,n,SOC
74,male,C,3,26,1,0,14.4542,0,Mr.,2,21,n,digit
74,male,C,3,26,1,0,14.4542,0,Mr.,2,21,n,digit
75,male,S,3,32,0,0,56.4958,1,Mr.,2,7,n,digit
75,male,S,3,32,0,0,56.4958,1,Mr.,2,7,n,digit
76,male,S,3,25,0,0,7.65,0,Mr.,3,16,o,digit
76,male,S,3,25,0,0,7.65,0,Mr.,3,16,o,digit
77,male,S,3,24,0,0,7.8958,0,Mr.,2,11,n,digit
77,male,S,3,24,0,0,7.8958,0,Mr.,2,11,n,digit
78,male,S,3,21,0,0,8.05,0,Mr.,3,17,n,digit
78,male,S,3,21,0,0,8.05,0,Mr.,3,17,n,digit
79,male,S,2,0.83,0,2,29,1,Master.,3,18,n,digit
79,male,S,2,0.83,0,2,29,1,Master.,3,18,n,digit
80,female,S,3,30,0,0,12.475,1,Miss.,2,16,n,digit
80,female,S,3,30,0,0,12.475,1,Miss.,2,16,n,digit
81,male,S,3,22,0,0,9,0,Mr.,2,14,n,digit
81,male,S,3,22,0,0,9,0,Mr.,2,14,n,digit
82,male,S,3,29,0,0,9.5,1,Mr.,3,20,n,digit
82,male,S,3,29,0,0,9.5,1,Mr.,3,20,n,digit
83,female,Q,3,34,0,0,7.7875,1,Miss.,3,21,n,digit
83,female,Q,3,34,0,0,7.7875,1,Miss.,3,21,n,digit
84,male,S,1,28,0,0,47.1,0,Mr.,3,16,n,digit
84,male,S,1,28,0,0,47.1,0,Mr.,3,16,n,digit
85,female,S,2,17,0,0,10.5,1,Miss.,2,11,n,other
85,female,S,2,17,0,0,10.5,1,Miss.,2,11,n,other
86,female,S,3,33,3,0,15.85,1,Mrs.,4,19,n,digit
86,female,S,3,33,3,0,15.85,1,Mrs.,4,19,n,digit
87,male,S,3,16,1,3,34.375,0,Mr.,3,15,n,W/C
87,male,S,3,16,1,3,34.375,0,Mr.,3,15,n,W/C
88,male,S,3,21,0,0,8.05,0,Mr.,3,22,n,SOTON/OQ
88,male,S,3,24,0,0,8.05,0,Mr.,3,22,n,SOTON/OQ
89,female,S,1,23,3,2,263,1,Miss.,3,17,C,digit
89,female,S,1,23,3,2,263,1,Miss.,3,17,C,digit
90,male,S,3,24,0,0,8.05,0,Mr.,2,16,n,digit
90,male,S,3,24,0,0,8.05,0,Mr.,2,16,n,digit
91,male,S,3,29,0,0,8.05,0,Mr.,2,14,n,digit
91,male,S,3,29,0,0,8.05,0,Mr.,2,14,n,digit
92,male,S,3,20,0,0,7.8542,0,Mr.,3,19,n,digit
92,male,S,3,20,0,0,7.8542,0,Mr.,3,19,n,digit
93,male,S,1,46,1,0,61.175,0,Mr.,3,20,E,other
93,male,S,1,46,1,0,61.175,0,Mr.,3,20,E,other
94,male,S,3,26,1,2,20.575,0,Mr.,3,16,n,CA
94,male,S,3,26,1,2,20.575,0,Mr.,3,16,n,CA
95,male,S,3,59,0,0,7.25,0,Mr.,2,11,n,digit
95,male,S,3,59,0,0,7.25,0,Mr.,2,11,n,digit
96,male,S,3,21,0,0,8.05,0,Mr.,3,20,n,digit
96,male,S,3,21,0,0,8.05,0,Mr.,3,20,n,digit
97,male,C,1,71,0,0,34.6542,0,Mr.,3,18,o,PC
97,male,C,1,71,0,0,34.6542,0,Mr.,3,18,o,PC
98,male,C,1,23,0,1,63.3583,1,Mr.,3,24,D,PC
98,male,C,1,23,0,1,63.3583,1,Mr.,3,24,D,PC
99,female,S,2,34,0,1,23,1,Mrs.,4,11,n,digit
99,female,S,2,34,0,1,23,1,Mrs.,4,11,n,digit
100,male,S,2,34,1,0,26,0,Mr.,2,11,n,digit
100,male,S,2,34,1,0,26,0,Mr.,2,11,n,digit
101,female,S,3,28,0,0,7.8958,0,Miss.,2,15,n,digit
101,female,S,3,28,0,0,7.8958,0,Miss.,2,15,n,digit
102,male,S,3,24,0,0,7.8958,0,Mr.,3,14,n,digit
102,male,S,3,24,0,0,7.8958,0,Mr.,3,14,n,digit
103,male,S,1,21,0,1,77.2875,0,Mr.,3,18,D,digit
103,male,S,1,21,0,1,77.2875,0,Mr.,3,18,D,digit
104,male,S,3,33,0,0,8.6542,0,Mr.,3,19,n,digit
104,male,S,3,33,0,0,8.6542,0,Mr.,3,19,n,digit
105,male,S,3,37,2,0,7.925,0,Mr.,3,23,n,digit
105,male,S,3,37,2,0,7.925,0,Mr.,3,23,n,digit
106,male,S,3,28,0,0,7.8958,0,Mr.,2,15,n,digit
106,male,S,3,28,0,0,7.8958,0,Mr.,2,15,n,digit
107,female,S,3,21,0,0,7.65,1,Miss.,3,23,n,digit
107,female,S,3,21,0,0,7.65,1,Miss.,3,23,n,digit
108,male,S,3,16,0,0,7.775,1,Mr.,3,15,n,digit
108,male,S,3,16,0,0,7.775,1,Mr.,3,15,n,digit
109,male,S,3,38,0,0,7.8958,0,Mr.,2,9,n,digit
109,male,S,3,38,0,0,7.8958,0,Mr.,2,9,n,digit
110,female,Q,3,4,1,0,24.15,1,Miss.,2,11,n,digit
110,female,Q,3,6,1,0,24.15,1,Miss.,2,11,n,digit
111,male,S,1,47,0,0,52,0,Mr.,3,23,C,digit
111,male,S,1,47,0,0,52,0,Mr.,3,23,C,digit
112,female,C,3,14.5,1,0,14.4542,0,Miss.,2,12,n,digit
112,female,C,3,14.5,1,0,14.4542,0,Miss.,2,12,n,digit
113,male,S,3,22,0,0,8.05,0,Mr.,3,15,n,digit
113,male,S,3,22,0,0,8.05,0,Mr.,3,15,n,digit
114,female,S,3,20,1,0,9.825,0,Miss.,2,15,n,digit
114,female,S,3,20,1,0,9.825,0,Miss.,2,15,n,digit
115,female,C,3,17,0,0,14.4583,0,Miss.,2,13,n,digit
115,female,C,3,17,0,0,14.4583,0,Miss.,2,13,n,digit
116,male,S,3,21,0,0,7.925,0,Mr.,2,15,n,STON/O 2
116,male,S,3,21,0,0,7.925,0,Mr.,2,15,n,STON/O 2
117,male,Q,3,70.5,0,0,7.75,0,Mr.,2,14,n,digit
117,male,Q,3,70.5,0,0,7.75,0,Mr.,2,14,n,digit
118,male,S,2,29,1,0,21,0,Mr.,4,23,n,digit
118,male,S,2,29,1,0,21,0,Mr.,4,23,n,digit
119,male,C,1,24,0,1,247.5208,0,Mr.,3,17,B,PC
119,male,C,1,24,0,1,247.5208,0,Mr.,3,17,B,PC
120,female,S,3,2,4,2,31.275,0,Miss.,4,23,n,digit
120,female,S,3,2,4,2,31.275,0,Miss.,4,23,n,digit
121,male,S,2,21,2,0,73.5,0,Mr.,3,20,n,SOC
121,male,S,2,21,2,0,73.5,0,Mr.,3,20,n,SOC
122,male,S,3,24,0,0,8.05,0,Mr.,3,19,n,other
122,male,S,3,24,0,0,8.05,0,Mr.,3,19,n,other
123,male,C,2,32.5,1,0,30.0708,0,Mr.,2,14,n,digit
123,male,C,2,32.5,1,0,30.0708,0,Mr.,2,14,n,digit
124,female,S,2,32.5,0,0,13,1,Miss.,2,11,E,digit
124,female,S,2,32.5,0,0,13,1,Miss.,2,11,E,digit
125,male,S,1,54,0,1,77.2875,0,Mr.,3,20,D,digit
125,male,S,1,54,0,1,77.2875,0,Mr.,3,20,D,digit
126,male,C,3,12,1,0,11.2417,1,Master.,2,18,n,digit
126,male,C,3,12,1,0,11.2417,1,Master.,2,18,n,digit
127,male,Q,3,35,0,0,7.75,0,Mr.,2,13,n,digit
127,male,Q,3,35,0,0,7.75,0,Mr.,2,13,n,digit
128,male,S,3,24,0,0,7.1417,1,Mr.,3,18,n,C
128,male,S,3,24,0,0,7.1417,1,Mr.,3,18,n,C
129,female,C,3,9,1,1,22.3583,1,Miss.,2,9,o,digit
129,female,C,3,9,1,1,22.3583,1,Miss.,2,9,o,digit
130,male,S,3,45,0,0,6.975,0,Mr.,2,12,n,digit
130,male,S,3,45,0,0,6.975,0,Mr.,2,12,n,digit
131,male,C,3,33,0,0,7.8958,0,Mr.,2,14,n,digit
131,male,C,3,33,0,0,7.8958,0,Mr.,2,14,n,digit
132,male,S,3,20,0,0,7.05,0,Mr.,3,23,n,SOTON/OQ
132,male,S,3,20,0,0,7.05,0,Mr.,3,23,n,SOTON/OQ
133,female,S,3,47,1,0,14.5,0,Mrs.,4,16,n,A/5
133,female,S,3,47,1,0,14.5,0,Mrs.,4,16,n,A/5
134,female,S,2,29,1,0,26,1,Mrs.,3,12,n,digit
134,female,S,2,29,1,0,26,1,Mrs.,3,12,n,digit
135,male,S,2,25,0,0,13,0,Mr.,4,22,n,CA
135,male,S,2,25,0,0,13,0,Mr.,4,22,n,CA
136,male,C,2,23,0,0,15.0458,0,Mr.,2,12,n,SC/PARIS
136,male,C,2,23,0,0,15.0458,0,Mr.,2,12,n,SC/PARIS
137,female,S,1,19,0,2,26.2833,1,Miss.,3,19,D,digit
137,female,S,1,19,0,2,26.2833,1,Miss.,3,19,D,digit
138,male,S,1,37,1,0,53.1,0,Mr.,3,20,C,digit
138,male,S,1,37,1,0,53.1,0,Mr.,3,20,C,digit
139,male,S,3,16,0,0,9.2167,0,Mr.,3,12,n,digit
139,male,S,3,16,0,0,9.2167,0,Mr.,3,12,n,digit
140,male,C,1,24,0,0,79.2,0,Mr.,2,12,B,PC
140,male,C,1,24,0,0,79.2,0,Mr.,2,12,B,PC
141,female,C,3,54,0,2,15.2458,0,Mrs.,3,12,n,digit
141,female,C,3,54,0,2,15.2458,0,Mrs.,3,12,n,digit
142,female,S,3,22,0,0,7.75,1,Miss.,3,15,n,digit
142,female,S,3,22,0,0,7.75,1,Miss.,3,15,n,digit
143,female,S,3,24,1,0,15.85,1,Mrs.,4,23,n,STON/O2
143,female,S,3,24,1,0,15.85,1,Mrs.,4,23,n,STON/O2
144,male,Q,3,19,0,0,6.75,0,Mr.,2,13,n,digit
144,male,Q,3,19,0,0,6.75,0,Mr.,2,13,n,digit
145,male,S,2,18,0,0,11.5,0,Mr.,3,19,n,digit
145,male,S,2,18,0,0,11.5,0,Mr.,3,19,n,digit
146,male,S,2,19,1,1,36.75,0,Mr.,3,21,n,CA
146,male,S,2,19,1,1,36.75,0,Mr.,3,21,n,CA
147,male,S,3,27,0,0,7.7958,1,Mr.,4,21,n,digit
147,male,S,3,27,0,0,7.7958,1,Mr.,4,21,n,digit
148,female,S,3,9,2,2,34.375,0,Miss.,4,22,n,W/C
148,female,S,3,9,2,2,34.375,0,Miss.,4,22,n,W/C
149,male,S,2,36.5,0,2,26,0,Mr.,3,14,o,digit
149,male,S,2,36.5,0,2,26,0,Mr.,3,14,o,digit
150,male,S,2,42,0,0,13,0,Rev.,4,24,n,digit
150,male,S,2,42,0,0,13,0,Rev.,4,24,n,digit
151,male,S,2,51,0,0,12.525,0,Rev.,3,18,n,other
151,male,S,2,51,0,0,12.525,0,Rev.,3,18,n,other
152,female,S,1,22,1,0,66.6,1,Mrs.,3,11,C,digit
152,female,S,1,22,1,0,66.6,1,Mrs.,3,11,C,digit
153,male,S,3,55.5,0,0,8.05,0,Mr.,2,10,n,other
153,male,S,3,55.5,0,0,8.05,0,Mr.,2,10,n,other
154,male,S,3,40.5,0,2,14.5,0,Mr.,4,23,n,A/5
154,male,S,3,40.5,0,2,14.5,0,Mr.,4,23,n,A/5
155,male,S,3,24,0,0,7.3125,0,Mr.,3,14,n,other
155,male,S,3,24,0,0,7.3125,0,Mr.,3,14,n,other
156,male,C,1,51,0,1,61.3792,0,Mr.,3,20,n,PC
156,male,C,1,51,0,1,61.3792,0,Mr.,3,20,n,PC
157,female,Q,3,16,0,0,7.7333,1,Miss.,3,23,n,digit
157,female,Q,3,16,0,0,7.7333,1,Miss.,3,23,n,digit
158,male,S,3,30,0,0,8.05,0,Mr.,2,9,n,SOTON/OQ
158,male,S,3,30,0,0,8.05,0,Mr.,2,9,n,SOTON/OQ
159,male,S,3,21,0,0,8.6625,0,Mr.,2,13,n,digit
159,male,S,3,24,0,0,8.6625,0,Mr.,2,13,n,digit
160,male,S,3,5,8,2,69.55,0,Master.,3,15,n,CA
160,male,S,3,3,8,2,69.55,0,Master.,3,15,n,CA
161,male,S,3,44,0,1,16.1,0,Mr.,3,17,n,digit
161,male,S,3,44,0,1,16.1,0,Mr.,3,17,n,digit
162,female,S,2,40,0,0,15.75,1,Mrs.,3,9,n,CA
162,female,S,2,40,0,0,15.75,1,Mrs.,3,9,n,CA
163,male,S,3,26,0,0,7.775,0,Mr.,3,19,n,digit
163,male,S,3,26,0,0,7.775,0,Mr.,3,19,n,digit
164,male,S,3,17,0,0,8.6625,0,Mr.,2,9,n,digit
164,male,S,3,17,0,0,8.6625,0,Mr.,2,9,n,digit
165,male,S,3,1,4,1,39.6875,0,Master.,3,17,n,digit
165,male,S,3,1,4,1,39.6875,0,Master.,3,17,n,digit
166,male,S,3,9,0,2,20.525,1,Master.,5,34,n,digit
166,male,S,3,9,0,2,20.525,1,Master.,5,34,n,digit
167,female,S,1,50,0,1,55,1,Mrs.,2,8,E,digit
167,female,S,1,50,0,1,55,1,Mrs.,2,8,E,digit
168,female,S,3,45,1,4,27.9,0,Mrs.,3,12,n,digit
168,female,S,3,45,1,4,27.9,0,Mrs.,3,12,n,digit
169,male,S,1,40,0,0,25.925,0,Mr.,3,12,n,PC
169,male,S,1,38,0,0,25.925,0,Mr.,3,12,n,PC
170,male,S,3,28,0,0,56.4958,0,Mr.,2,7,n,digit
170,male,S,3,28,0,0,56.4958,0,Mr.,2,7,n,digit
171,male,S,1,61,0,0,33.5,0,Mr.,4,17,B,digit
171,male,S,1,61,0,0,33.5,0,Mr.,4,17,B,digit
172,male,Q,3,4,4,1,29.125,0,Master.,2,10,n,digit
172,male,Q,3,4,4,1,29.125,0,Master.,2,10,n,digit
173,female,S,3,1,1,1,11.1333,1,Miss.,3,19,n,digit
173,female,S,3,1,1,1,11.1333,1,Miss.,3,19,n,digit
174,male,S,3,21,0,0,7.925,0,Mr.,3,18,n,STON/O 2
174,male,S,3,21,0,0,7.925,0,Mr.,3,18,n,STON/O 2
175,male,C,1,56,0,0,30.6958,0,Mr.,3,16,o,digit
175,male,C,1,56,0,0,30.6958,0,Mr.,3,16,o,digit
176,male,S,3,18,1,1,7.8542,0,Mr.,3,15,n,digit
176,male,S,3,18,1,1,7.8542,0,Mr.,3,15,n,digit
177,male,S,3,7,3,1,25.4667,0,Master.,3,18,n,digit
177,male,S,3,38,3,1,25.4667,0,Master.,3,18,n,digit
178,female,C,1,50,0,0,28.7125,0,Miss.,3,17,C,PC
178,female,C,1,50,0,0,28.7125,0,Miss.,3,17,C,PC
179,male,S,2,30,0,0,13,0,Mr.,2,12,n,digit
179,male,S,2,30,0,0,13,0,Mr.,2,12,n,digit
180,male,S,3,36,0,0,0,0,Mr.,2,13,n,LINE
180,male,S,3,36,0,0,0,0,Mr.,2,13,n,LINE
181,female,S,3,5,8,2,69.55,0,Miss.,3,19,n,CA
181,female,S,3,5,8,2,69.55,0,Miss.,3,19,n,CA
182,male,C,2,23,0,0,15.05,0,Mr.,2,10,n,SC/PARIS
182,male,C,2,36.5,0,0,15.05,0,Mr.,2,10,n,SC/PARIS
183,male,S,3,9,4,2,31.3875,0,Master.,4,25,n,digit
183,male,S,3,9,4,2,31.3875,0,Master.,4,25,n,digit
184,male,S,2,1,2,1,39,1,Master.,3,14,o,digit
184,male,S,2,1,2,1,39,1,Master.,3,14,o,digit
185,female,S,3,4,0,2,22.025,1,Miss.,3,26,n,digit
185,female,S,3,4,0,2,22.025,1,Miss.,3,26,n,digit
186,male,S,1,40,0,0,50,0,Mr.,3,14,o,digit
186,male,S,1,38,0,0,50,0,Mr.,3,14,o,digit
187,female,Q,3,6,1,0,15.5,1,Mrs.,3,13,n,digit
187,female,Q,3,6,1,0,15.5,1,Mrs.,3,13,n,digit
188,male,S,1,45,0,0,26.55,1,Mr.,4,21,n,digit
188,male,S,1,45,0,0,26.55,1,Mr.,4,21,n,digit
189,male,Q,3,40,1,1,15.5,0,Mr.,2,10,n,digit
189,male,Q,3,40,1,1,15.5,0,Mr.,2,10,n,digit
190,male,S,3,36,0,0,7.8958,0,Mr.,2,13,n,digit
190,male,S,3,36,0,0,7.8958,0,Mr.,2,13,n,digit
191,female,S,2,32,0,0,13,1,Mrs.,2,6,n,digit
191,female,S,2,32,0,0,13,1,Mrs.,2,6,n,digit
192,male,S,2,19,0,0,13,0,Mr.,2,15,n,digit
192,male,S,2,19,0,0,13,0,Mr.,2,15,n,digit
193,female,S,3,19,1,0,7.8542,1,Miss.,4,37,n,digit
193,female,S,3,19,1,0,7.8542,1,Miss.,4,37,n,digit
194,male,S,2,3,1,1,26,1,Master.,3,15,o,digit
194,male,S,2,3,1,1,26,1,Master.,3,15,o,digit
195,female,C,1,44,0,0,27.7208,1,Mrs.,4,16,B,PC
195,female,C,1,44,0,0,27.7208,1,Mrs.,4,16,B,PC
196,female,C,1,58,0,0,146.5208,1,Miss.,2,12,B,PC
196,female,C,1,58,0,0,146.5208,1,Miss.,2,12,B,PC
197,male,Q,3,39,0,0,7.75,0,Mr.,2,13,n,digit
197,male,Q,3,35,0,0,7.75,0,Mr.,2,13,n,digit
198,male,S,3,42,0,1,8.4042,0,Mr.,4,24,n,digit
198,male,S,3,42,0,1,8.4042,0,Mr.,4,24,n,digit
199,female,Q,3,34,0,0,7.75,1,Miss.,3,23,n,digit
199,female,Q,3,34,0,0,7.75,1,Miss.,3,23,n,digit
200,female,S,2,24,0,0,13,0,Miss.,3,14,n,digit
200,female,S,2,24,0,0,13,0,Miss.,3,14,n,digit
201,male,S,3,28,0,0,9.5,0,Mr.,4,22,n,digit
